strain,isolate,well,growth.rate,GFP.rate,other.rate,run
EV112,C,C11,1.421899066499455,565.2352941176479,NA,43
EV112,C,C12,1.2988584775744876,499.0989515072085,NA,43
EV112,C,C7,1.4166899257464571,840.1377902526167,NA,43
EV112,C,C8,1.2356078167493676,449.33687852383406,NA,43
EV112,C,C9,1.2912844694985615,619.0182535767158,NA,43
EV127,A,G1,1.2512221309533027,490.17503302509897,NA,43
EV127,A,G2,1.3420343901175977,647.5025807988563,NA,43
EV127,A,G3,1.3867159425259419,396.6043255668164,NA,43
EV127,A,G4,1.3936356322815038,381.3179516972363,NA,43
EV127,A,G5,1.3879248984139996,536.2574896297444,NA,43
EV127,A,G6,1.3831625041587556,415.68386099501936,NA,43
EV127,B,G10,1.3965904604963497,483.17997791682,NA,43
EV127,B,G11,1.4733108190037165,425.14562693992093,NA,43
EV127,B,G12,1.4276878123365968,423.6147990794838,NA,43
EV127,B,G7,1.4252521277302872,396.16483068135614,NA,43
EV127,B,G8,1.41763769589909,508.65879284109843,NA,43
EV127,B,G9,1.41531312822318,402.2604844839553,NA,43
EV127,C,H3,1.342573519542496,400.72360166895226,NA,43
EV127,C,H4,1.44327678059117,501.87061361588235,NA,43
EV127,C,H5,1.537485329724626,609.606571037438,NA,43
EV127,C,H6,1.3476758091736727,435.96602098703744,NA,43
EV127,C,H7,1.3132848164621063,778.641357148196,NA,43
EV127,C,H8,1.5293186545496105,623.7882583596548,NA,43
EV373,A,D1,1.399434393136871,435.2248115741141,NA,43
EV373,A,D2,1.5068846182169433,887.6557964828427,NA,43
EV373,A,D3,1.1799488858460658,524.7214316723744,NA,43
EV373,A,D4,1.3816741369141554,567.9105605076313,NA,43
EV373,A,D5,1.5367946807554111,446.6356839765608,NA,43
EV373,A,D6,1.3444630077016453,519.2839278662617,NA,43
EV373,B,D10,1.3673219905233682,606.0103244837767,NA,43
EV373,B,D11,1.4753407892931758,618.9928057553957,NA,43
EV373,B,D12,1.459779598171274,860.3002502085087,NA,43
EV373,B,D7,1.432124641762139,423.5894527927418,NA,43
EV373,B,D8,1.425098455714504,909.8245614035077,NA,43
EV373,B,D9,1.3307242984497876,427.8656126482213,NA,43
EV373,C,E1,1.42259216519148,829.7666155212803,NA,43
EV373,C,E2,1.7330624501437693,537.7120459558532,NA,43
EV373,C,E3,1.1407939570865766,443.4756835527453,NA,43
EV373,C,E4,1.310572881022721,775.2480078061495,NA,43
EV373,C,E5,1.229994428809205,644.7714135575419,NA,43
EV373,C,E6,1.6383714749351785,1115.9139368094616,NA,43
EV106,A,A1,1.248604591335405,580.2443570097328,NA,44
EV106,A,A2,1.2388099661327625,537.4418089115496,NA,44
EV106,A,A3,1.4752707707279553,900.7013658176459,NA,44
EV106,A,A4,1.3366985483530973,650.5723204994798,NA,44
EV106,A,A5,1.2592781117261937,609.6982027806044,NA,44
EV106,A,A6,1.3392663028234386,987.3849301056947,NA,44
EV106,B,A10,1.2420519313957867,436.02429705104333,NA,44
EV106,B,A11,1.329842762987346,441.91217342968423,NA,44
EV106,B,A12,1.340056175659539,815.8052884615395,NA,44
EV106,B,A7,1.2404881881132885,466.0844841592204,NA,44
EV106,B,A8,1.3064380977499614,445.7415760148588,NA,44
EV106,B,A9,1.3260962237515965,337.6973268785518,NA,44
EV106,C,B1,1.3465407908050047,311.10576923076917,NA,44
EV106,C,B2,1.2172953805847602,251.86546177209513,NA,44
EV106,C,B3,1.2212562059245093,424.44616426429343,NA,44
EV106,C,B4,1.3455408637903332,679.0688006651425,NA,44
EV106,C,B5,1.3088868510827893,294.10337296772695,NA,44
EV106,C,B6,1.3132868567215956,281.9744680851065,NA,44
EV109,A,E10,1.2236600363330061,487.85856779252936,NA,44
EV109,A,E11,1.3211050786805032,455.398633257403,NA,44
EV109,A,E12,3.4673213222314656,512.2019114781481,NA,44
EV109,A,E7,1.3731692571820986,447.8692480666924,NA,44
EV109,A,E8,1.4320299765086535,460.30015930242314,NA,44
EV109,A,E9,1.2660190918647243,560.6728895271315,NA,44
EV109,B,F1,1.2132966212510516,461.2831858407079,NA,44
EV109,B,F2,1.155576842095472,456.27439124938144,NA,44
EV109,B,F3,1.1763054049836776,457.4351679614838,NA,44
EV109,B,F4,1.2286942150603126,331.40073660449076,NA,44
EV109,B,F5,1.1801825325800261,440.57040465880203,NA,44
EV109,B,F6,1.2043643715060308,599.1124260355028,NA,44
EV109,C,F10,1.1483565663605257,579.0490916119066,NA,44
EV109,C,F11,1.1628994215771575,422.2251690757197,NA,44
